epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_drowning_recall,val_drowning_f1,lr,epoch_time_s
1,0.28147,0.0008,1.0,1.0,1.0,1.0,0.001,3.84
2,0.00118,0.00016,1.0,1.0,1.0,1.0,0.00099901,3.19
3,0.00046,8e-05,1.0,1.0,1.0,1.0,0.00099606,3.39
4,0.00035,5e-05,1.0,1.0,1.0,1.0,0.00099115,3.23
5,0.00023,3e-05,1.0,1.0,1.0,1.0,0.00098431,2.8
6,0.00018,2e-05,1.0,1.0,1.0,1.0,0.00097555,2.97
7,0.00017,1e-05,1.0,1.0,1.0,1.0,0.00096492,3.43
8,8e-05,1e-05,1.0,1.0,1.0,1.0,0.00095246,3.6
9,0.00011,1e-05,1.0,1.0,1.0,1.0,0.00093822,3.4
10,7e-05,1e-05,1.0,1.0,1.0,1.0,0.00092224,3.19
11,5e-05,1e-05,1.0,1.0,1.0,1.0,0.0009046,2.74
