epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_drowning_recall,val_drowning_f1,lr,epoch_time_s
1,0.36313,0.00097,1.0,1.0,1.0,1.0,0.001,1.37
2,0.02885,0.00036,1.0,1.0,1.0,1.0,0.00099901,1.24
3,0.00119,0.00015,1.0,1.0,1.0,1.0,0.00099606,1.17
4,0.00059,6e-05,1.0,1.0,1.0,1.0,0.00099115,1.22
5,0.00027,4e-05,1.0,1.0,1.0,1.0,0.00098431,1.18
6,0.00023,3e-05,1.0,1.0,1.0,1.0,0.00097555,1.25
7,0.00018,2e-05,1.0,1.0,1.0,1.0,0.00096492,1.16
8,0.00013,1e-05,1.0,1.0,1.0,1.0,0.00095246,1.18
9,0.00012,1e-05,1.0,1.0,1.0,1.0,0.00093822,1.18
10,9e-05,1e-05,1.0,1.0,1.0,1.0,0.00092224,1.19
11,8e-05,1e-05,1.0,1.0,1.0,1.0,0.0009046,1.33
